Listing...
g++-13-x86-64-linux-gnu/noble-security 13.3.0-6ubuntu2~24.04.1 amd64 [upgradable from: 13.3.0-6ubuntu2~24.04]
g++-13/noble-security 13.3.0-6ubuntu2~24.04.1 amd64 [upgradable from: 13.3.0-6ubuntu2~24.04]
gcc-13-base/noble-security 13.3.0-6ubuntu2~24.04.1 amd64 [upgradable from: 13.3.0-6ubuntu2~24.04]
gcc-13-x86-64-linux-gnu/noble-security 13.3.0-6ubuntu2~24.04.1 amd64 [upgradable from: 13.3.0-6ubuntu2~24.04]
gcc-13/noble-security 13.3.0-6ubuntu2~24.04.1 amd64 [upgradable from: 13.3.0-6ubuntu2~24.04]
gcc-14-base/noble-security 14.2.0-4ubuntu2~24.04.1 amd64 [upgradable from: 14.2.0-4ubuntu2~24.04]
gcc-14-base/noble-security 14.2.0-4ubuntu2~24.04.1 i386 [upgradable from: 14.2.0-4ubuntu2~24.04]
ghostscript/noble-updates,noble-security 10.02.1~dfsg1-0ubuntu7.8 amd64 [upgradable from: 10.02.1~dfsg1-0ubuntu7.7]
gir1.2-camel-1.2/noble-security 3.52.3-0ubuntu1.2 amd64 [upgradable from: 3.52.3-0ubuntu1]
gir1.2-ecal-2.0/noble-security 3.52.3-0ubuntu1.2 amd64 [upgradable from: 3.52.3-0ubuntu1]
gir1.2-edataserver-1.2/noble-security 3.52.3-0ubuntu1.2 amd64 [upgradable from: 3.52.3-0ubuntu1]
gir1.2-gdkpixbuf-2.0/noble-updates,noble-security 2.42.10+dfsg-3ubuntu3.2 amd64 [upgradable from: 2.42.10+dfsg-3ubuntu3.1]
gir1.2-glib-2.0/noble-security 2.80.0-6ubuntu3.8 amd64 [upgradable from: 2.80.0-6ubuntu3.4]
gir1.2-gst-plugins-base-1.0/noble-updates,noble-security 1.24.2-1ubuntu0.3 amd64 [upgradable from: 1.24.2-1ubuntu0.2]
gir1.2-gtop-2.0/noble-updates 2.41.3-1ubuntu0.24.04.1 amd64 [upgradable from: 2.41.3-1build4]
gir1.2-javascriptcoregtk-4.1/noble-updates,noble-security 2.50.4-0ubuntu0.24.04.1 amd64 [upgradable from: 2.48.3-0ubuntu0.24.04.1]
gir1.2-nm-1.0/noble-updates 1.46.0-1ubuntu2.5 amd64 [upgradable from: 1.46.0-1ubuntu2.2]
